method_name,utilization,schedulability_ratio
RTA_SS_tol_fb_early,0.7,0.57
RTA_SS_tol_fb_early,0.75,0.24
RTA_SS_tol_fb_early,0.8,0.11
RTA_SS_tol_fb_early,0.85,0.06
RTA_SS_tol_fb_early,0.9,0.02
RTA_UNI_tol_fb,0.7,1.0
RTA_UNI_tol_fb,0.75,1.0
RTA_UNI_tol_fb,0.8,0.93
RTA_UNI_tol_fb,0.85,0.59
RTA_UNI_tol_fb,0.9,0.12
RTA_UNI_opt,0.7,0.99
RTA_UNI_opt,0.75,0.98
RTA_UNI_opt,0.8,0.91
RTA_UNI_opt,0.85,0.48
RTA_UNI_opt,0.9,0.08
RTA_UNI_heu,0.7,1.0
RTA_UNI_heu,0.75,0.99
RTA_UNI_heu,0.8,0.91
RTA_UNI_heu,0.85,0.51
RTA_UNI_heu,0.9,0.08
RTA_SS_heu,0.7,0.19
RTA_SS_heu,0.75,0.05
RTA_SS_heu,0.8,0.0
RTA_SS_heu,0.85,0.0
RTA_SS_heu,0.9,0.01
RTA_SS_opt,0.7,0.19
RTA_SS_opt,0.75,0.03
RTA_SS_opt,0.8,0.0
RTA_SS_opt,0.85,0.0
RTA_SS_opt,0.9,0.01
