method_name,utilization,schedulability_ratio
RTA_SS_tol_fb_early,0.7,0.88
RTA_SS_tol_fb_early,0.75,0.8
RTA_SS_tol_fb_early,0.8,0.77
RTA_SS_tol_fb_early,0.85,0.62
RTA_SS_tol_fb_early,0.9,0.53
RTA_UNI_tol_fb,0.7,1.0
RTA_UNI_tol_fb,0.75,1.0
RTA_UNI_tol_fb,0.8,0.99
RTA_UNI_tol_fb,0.85,0.85
RTA_UNI_tol_fb,0.9,0.67
RTA_UNI_opt,0.7,0.95
RTA_UNI_opt,0.75,0.92
RTA_UNI_opt,0.8,0.85
RTA_UNI_opt,0.85,0.65
RTA_UNI_opt,0.9,0.53
RTA_UNI_heu,0.7,0.95
RTA_UNI_heu,0.75,0.92
RTA_UNI_heu,0.8,0.86
RTA_UNI_heu,0.85,0.66
RTA_UNI_heu,0.9,0.53
RTA_SS_heu,0.7,0.81
RTA_SS_heu,0.75,0.61
RTA_SS_heu,0.8,0.45
RTA_SS_heu,0.85,0.34
RTA_SS_heu,0.9,0.22
RTA_SS_opt,0.7,0.81
RTA_SS_opt,0.75,0.61
RTA_SS_opt,0.8,0.44
RTA_SS_opt,0.85,0.31
RTA_SS_opt,0.9,0.2
